Age,Gender,Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Urban_or_Rural
14,Male,3.99,Smartphone,True,"Poor Sleep, Eye Strain",Urban
11,Female,4.61,Laptop,True,Poor Sleep,Urban
18,Female,3.73,TV,True,Poor Sleep,Urban
15,Female,1.21,Laptop,False,None,Urban
12,Female,5.89,Smartphone,True,"Poor Sleep, Anxiety",Urban
14,Female,4.88,Smartphone,True,Poor Sleep,Urban
17,Male,2.97,TV,False,None,Rural
10,Male,2.74,TV,True,None,Urban
14,Male,4.61,Laptop,True,"Poor Sleep, Anxiety",Rural
18,Male,3.24,Tablet,True,"Poor Sleep, Obesity Risk",Urban
18,Male,3.53,Tablet,True,Poor Sleep,Rural
15,Female,4.94,TV,True,Poor Sleep,Rural
12,Male,4.59,Smartphone,True,Poor Sleep,Urban
11,Male,6.08,TV,True,Eye Strain,Rural
15,Male,6.15,Smartphone,True,Poor Sleep,Urban
15,Female,3.69,Smartphone,True,Poor Sleep,Urban
10,Female,7.1,Smartphone,True,"Poor Sleep, Eye Strain",Rural
13,Female,6.98,Smartphone,True,Obesity Risk,Urban
12,Male,3.82,Smartphone,True,Anxiety,Urban
15,Male,3.85,Smartphone,True,Obesity Risk,Urban
13,Female,4.05,Smartphone,True,Eye Strain,Urban
9,Female,1.63,Tablet,False,None,Urban
12,Female,6.78,TV,True,Eye Strain,Urban
8,Male,3.19,Tablet,True,"Poor Sleep, Anxiety, Obesity Risk",Urban
17,Male,4.96,Smartphone,True,None,Urban
13,Female,1.85,Smartphone,False,None,Urban
16,Male,4.22,Smartphone,True,Poor Sleep,Urban
8,Male,0.31,Smartphone,False,None,Urban
18,Male,5.13,TV,True,"Poor Sleep, Obesity Risk",Urban
18,Male,4.45,Smartphone,True,Eye Strain,Urban
17,Female,3.02,Smartphone,True,None,Rural
10,Male,2.16,Tablet,True,None,Urban
14,Male,4.28,Smartphone,True,Eye Strain,Rural
11,Female,5.34,Smartphone,True,"Poor Sleep, Eye Strain",Urban
16,Female,3.5,Laptop,True,"Eye Strain, Obesity Risk",Rural
10,Male,11.68,TV,True,Poor Sleep,Urban
12,Female,1.63,Smartphone,False,None,Urban
10,Male,4.63,Smartphone,True,Poor Sleep,Urban
14,Male,4.21,TV,True,Poor Sleep,Urban
12,Male,4.56,Smartphone,True,"Poor Sleep, Eye Strain",Urban
16,Female,3.51,TV,True,"Poor Sleep, Anxiety",Urban
14,Female,4.69,Smartphone,True,"Poor Sleep, Eye Strain",Urban
9,Male,7.61,TV,True,Poor Sleep,Urban
11,Male,2.75,Smartphone,False,None,Rural
16,Male,6.74,TV,True,"Eye Strain, Anxiety, Obesity Risk",Urban
17,Male,2.34,Smartphone,False,None,Rural
16,Male,2.85,Smartphone,False,None,Rural
17,Male,4.29,Laptop,True,"Poor Sleep, Eye Strain",Rural
12,Male,6.03,TV,True,"Poor Sleep, Anxiety",Urban
9,Female,1.06,Smartphone,False,None,Urban
11,Male,2.83,Smartphone,False,None,Urban
14,Male,3.92,Smartphone,True,None,Urban
15,Male,4.55,Smartphone,True,"Poor Sleep, Anxiety",Urban
10,Female,6.86,Smartphone,True,Poor Sleep,Rural
8,Male,3.47,TV,True,"Poor Sleep, Obesity Risk",Rural
11,Female,4.61,Tablet,True,Poor Sleep,Urban
15,Male,3.47,Smartphone,True,None,Rural
11,Male,4.31,TV,True,Poor Sleep,Urban
9,Male,2.3,Smartphone,True,None,Urban
13,Male,4.5,Laptop,True,None,Urban
13,Female,2.65,Laptop,False,None,Rural
17,Male,5.34,Laptop,True,None,Urban
11,Male,3.87,TV,True,"Poor Sleep, Obesity Risk",Urban
